,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human,
,,,,MAX,6,,1,,7.5,,1,,,7.5,,1,,6.5,,0.15,,3.5,,0.0001,,,,
,,,,MIN,3,,0.02,,6,,0.01,,,4.5,,0.01,,3,,0,,0,,0,,,,
CRISIS,TYPE OF CRISIS,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,,,,,,,,,,,,
Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,4.7,1.0000107220537329,5,4.85,5,1,5,5,4.9,5,0.8588516746411483,4.3,4.65,5,0.3024233983286908,5,5,5,0.0004287465181058496,5,5,5,4.8,
Drought in South-West Angola,Food Security,AGO002,Angola,AGO,3.9,0.17046121761450228,0.8,2.35,1.5,0.08297328546217976,0.4,0.95,1.7,3.1,0.801980198019802,4,3.55,0.7,0.0013717421124828531,0,0.4,0,0,0,0,0.2,2.2,
Nagorno-Karabakh Conflict in Armenia,Conflict,ARM002,Armenia,ARM,2.4,0.9906217070600633,5,3.7,1.6,1,5,3.3,3.5,0.7,0.027777777777777776,0.1,0.39999999999999997,2.6,0.7857142857142857,5,3.8,0,1.1904761904761905e-05,0.6,0.3,2.4,1.5,
Nagorno-Karabakh conflict in Azerbaijan,Conflict,AZE002,Azerbaijan,AZE,2.5,0.38179112783228286,1.8,2.15,2.6,0.5874587458745875,2.9,2.75,2.5,3.8,1,5,4.4,2.8,0.015491998638066053,0.5,1.7,2.8,1.5491998638066055e-05,0.8,1.8,1.8,3.4,
Complex in Burundi,Complex crisis,BDI001,Burundi,BDI,2.3,1,5,3.65,3.7,1,5,4.35,4,4.3,1,5,4.65,3.7,0.03301587301587302,1.1,2.4,3.5,2.0793650793650793e-05,1,2.3,2.4,3.8,
Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,3.7,0.6083516081871345,3,3.35,1.8,0.16669032410693163,0.8,1.3,2.5,3.4,0.9770082316207778,4.9,4.15,4.5,0.4186519465427077,5,4.8,4.3,0.0003221963974433469,5,4.7,4.8,4.5,
Rohingya refugee crisis,International displacement,BGD002,Bangladesh,BGD,0,0.0049934700775908425,0,0,0.5,0.00971111018025943,0,0.25,0.1,2.7,1,5,3.85,4.2,0.6606757728253055,5,4.6,x,x,x,x,4.6,4.3,
