,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
,,,,MAX,6,,1,,7.5,,1,,,7.5,,1,,6.5,,0.15,,3.5,,0.0001,,,
,,,,MIN,3,,0.02,,6,,0.01,,,4.5,,0.01,,3,,0,,0,,0,,,
CRISIS,TYPE OF CRISIS,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,,,,,,,,,,,
Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,4.7,1.0000107220537329,5,4.85,5,1,5,5,4.9,5,0.8588516746411483,4.3,4.65,5,0.344958217270195,5,5,5,8.284122562674095e-05,4.1,4.6,4.8,4.7
Earthquake in Khost and Paktika,Earthquake,AFG005,Afghanistan,AFG,2.3,0.03637992831541219,0.1,1.2,0.9,0.04416267942583732,0.2,0.55,0.9,1.8,0.19609967497291442,0.9,1.35,x,x,x,x,4.3,0.0028701657458563537,5,4.7,4.7,3.5
Drought in South-West Angola,Food Security,AGO002,Angola,AGO,5,1,5,5,1.5,0.08112094395280237,0.4,0.95,3.7,3.1,0.8243636363636364,4.1,3.5999999999999996,0,0.0004411116012351125,0,0,0,0,0,0,0,2.2
Nagorno-Karabakh Conflict in Armenia,Conflict,ARM002,Armenia,ARM,1.1,0.1545135230066737,0.7,0.9,0.7,0.5441767068273092,2.7,1.7000000000000002,1.3,0.1,0.020910209102091022,0.1,0.1,2,0.7941176470588235,5,3.5,0.9,0.00011764705882352942,5,3,3.3,2
Nagorno-Karabakh conflict in Azerbaijan,Conflict,AZE002,Azerbaijan,AZE,2.5,0.38179112783228286,1.8,2.15,1.5,0.2814741035856574,1.4,1.45,1.8,3.3,1,5,4.15,2.8,0.032200990799716916,1.1,2,1.3,2.8308563340410473e-06,0.1,0.7,1.4,3.1
Complex in Burundi,Complex crisis,BDI001,Burundi,BDI,2.3,1,5,3.65,3.7,1,5,4.35,4,4.4,1,5,4.7,4,0.04846153846153846,1.6,2.8,2.8,7.153846153846154e-06,0.4,1.6,2.2,3.7
Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,4.1,1.0014619883040936,5,4.55,4.4,1,5,4.7,4.6,3.4,0.163300366810605,0.8,2.1,4.7,0.54961615012795,5,4.9,4.8,0.0006124537958487347,5,4.9,4.9,3.9
