,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
,,,,MAX,,,,,,7,0.05,0.05,0.05,0.05,0.05,,
,,,,MIN,,,,,,4,,,,,,,
CRISIS,TYPE OF CRISIS,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,
Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,5.88,11.5,15.1,9.3,0.02,5,0.14066985645933014,0.2751196172248804,0.361244019138756,0.22248803827751196,0.0004784688995215311,4,4.5
Earthquake in Khost and Paktika,Earthquake,AFG005,Afghanistan,AFG,1.484,0,0.362,0,0,2.6,0.8039003250270856,0,0.19609967497291442,0,0,3,2.8
Drought in South-West Angola,Food Security,AGO002,Angola,AGO,0.483,0.683,1.167,0.417,0,3.7,0.17563636363636365,0.24836363636363637,0.4243636363636364,0.15163636363636362,0,4,3.85
Nagorno-Karabakh Conflict in Armenia,Conflict,ARM002,Armenia,ARM,1.593,0.007,0.027,0,0,0.7,0.9797047970479705,0.004305043050430504,0.016605166051660517,0,0,1,0.85
Nagorno-Karabakh conflict in Azerbaijan,Conflict,AZE002,Azerbaijan,AZE,0,2.826,0,0,0,0,0,1,0,0,0,2,1
Complex in Burundi,Complex crisis,BDI001,Burundi,BDI,0,11.2,1.692,0.108,0,3.8,0,0.8615384615384616,0.13015384615384615,0.008307692307692308,0,3,3.4
Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,0.081,2,0.983,0.175,0.284,3.6,0.022991768379222254,0.5676979846721544,0.27902355946636387,0.04967357365881351,0.08061311382344592,5,4.3
Mutliple crises in Bangladesh,Multiple crises country,BGD001,Bangladesh,BGD,44.283,3.8,3.356,1.522,0,4.5,0.8361435773493703,0.07175091104775212,0.06336738354638319,0.0287381280564944,0,3,3.75
Rohingya refugee crisis,International displacement,BGD002,Bangladesh,BGD,0,0,1.478,0,0,3.6,0,0,1,0,0,3,3.3
2022 Floods in Bangladesh,Flood,BGD008,Bangladesh,BGD,44.283,3.8,1.878,1.522,0,4.2,0.8601480100227259,0.07381077248800574,0.036478060719072315,0.029563156770195987,0,3,3.6
Country level Brazil,Multiple crises country,BRA001,Brazil,BRA,178.454,0.424,0.382,0,0,2.6,0.9955092910258341,0.0023652926770761857,0.0021309948175544883,0,0,1,1.8
Venezuela displacement in Brazil,International displacement,BRA002,Brazil,BRA,80.831,0.179,0.312,0,0,2.5,0.9939622734315438,0.0022011263864636877,0.003836600181992573,0,0,1,1.75
Floods in rainy season 2022,Flood,BRA003,Brazil,BRA,97.623,0.245,0.07,0,0,1.4,0.9967836794706856,0.00250158263391125,0.0007147378954032143,0,0,1,1.2
Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,1.604,0.9,0.733,1.467,0,3.9,0.34098639455782315,0.1913265306122449,0.1558248299319728,0.31186224489795916,0,4,3.95
Venezuela displacement in Chile,International displacement,CHL002,Chile,CHL,7.467,11.169,0.481,0,0,2.8,0.3906151914626491,0.5842749529190208,0.02516216781753505,0,0,2,2.4
Multiple crises in Cameroon,Multiple crises country,CMR001,Cameroon,CMR,13.829,2.082,9.07,2.618,0,5,0.5010507246376812,0.07543478260869564,0.32862318840579713,0.09485507246376812,0,4,4.5
Boko Haram in Cameroon,Conflict,CMR002,Cameroon,CMR,2.557,0,0.166,1.08,0,3.5,0.6723639232185117,0,0.043649750197212726,0.2839863265842756,0,4,3.75
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,11.439,0,1.431,0.603,0,3.8,0.8489683835535105,0,0.10620454208104498,0.044752857354905744,0,3,3.4
CAR refugees in Cameroon,International displacement,CMR004,Cameroon,CMR,5.183,0,0.475,0,0,2.8,0.9160480735242135,0,0.0839519264757865,0,0,3,2.9
Complex crisis in DRC,Complex crisis,COD001,DRC,COD,80.7,9.5,12.5,2.9,0.6,5,0.7598870056497176,0.08945386064030132,0.11770244821092278,0.027306967984934087,0.005649717514124294,3,4
Complex crisis in Congo,Complex crisis,COG001,Congo,COG,0.375,0.239,0.036,0.004,0,1,0.5725190839694656,0.3648854961832061,0.0549618320610687,0.0061068702290076335,0,3,2
